State,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,annual_mean_temp,summer_temp,monsoon_temp,winter_temp,temp_range
Bihar,18.65,22.88,30.0,36.25,38.52,37.44,33.02,32.33,30.98,28.13,25.02,20.85,29.50583333333334,34.92333333333334,33.4425,23.1625,19.870000000000005
Meghalaya,13.04,15.79,18.93,20.63,21.53,22.3,22.13,22.27,21.64,19.66,16.77,14.0,19.0575,20.363333333333333,22.085,15.8675,9.260000000000002
Punjab,14.09,17.69,24.01,32.07,37.67,39.46,36.28,33.04,31.69,29.33,23.25,17.2,27.981666666666666,31.25,35.1175,20.9675,25.37
Madhya Pradesh,20.23,24.74,30.52,36.27,39.24,35.4,29.37,27.73,28.16,27.51,24.53,20.8,28.70833333333334,35.343333333333334,30.165,23.267500000000002,19.01
Goa,27.96,28.84,29.3,30.77,30.84,28.13,26.71,26.63,27.19,28.38,28.8,28.39,28.495,30.30333333333333,27.165,28.3825,4.210000000000001
Rajasthan,17.78,21.7,27.96,34.2,37.89,37.67,34.0,31.21,31.24,30.31,24.77,19.27,28.999999999999996,33.35,33.53,23.0325,20.11
Telangana,24.46,27.69,31.86,35.6,37.57,31.83,27.81,26.91,27.3,26.78,25.14,23.8,28.89583333333333,35.01,28.4625,25.045,13.77
Gujarat,23.52,26.32,30.88,34.61,35.8,33.81,29.9,28.65,29.39,32.04,29.36,25.14,29.951666666666668,33.76333333333333,30.4375,27.514999999999997,12.279999999999998
Dadra And Nagar Haveli,25.11,26.34,28.72,30.52,30.95,29.79,27.88,27.26,27.62,29.1,28.31,26.22,28.15166666666666,30.063333333333333,28.137500000000003,27.185,5.84
Uttar Pradesh,17.59,21.5,28.63,35.79,39.58,38.81,33.7,32.1,31.12,29.07,25.1,20.12,29.42583333333333,34.666666666666664,33.932500000000005,22.970000000000002,21.99
Mizoram,18.33,21.73,25.92,28.69,28.62,27.1,26.4,26.48,26.36,25.29,22.58,19.48,24.748333333333335,27.743333333333336,26.585,21.419999999999998,10.360000000000003
Kerala,28.0,28.0,29.0,30.0,29.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,27.833333333333332,29.333333333333332,27.0,27.5,3.0
Manipur,20.6,24.3,28.1,30.7,30.0,27.9,27.6,27.4,26.4,26.4,23.6,20.8,26.150000000000002,29.599999999999998,27.325000000000003,22.85,10.099999999999998
Uttarakhand,10.8,13.5,18.3,23.9,27.2,27.9,25.8,25.2,23.9,20.5,16.1,12.1,20.433333333333334,23.133333333333336,25.700000000000003,14.875,17.099999999999998
Odisha,21.2,24.8,28.4,30.7,31.7,30.2,28.1,27.7,27.6,26.6,23.9,21.3,26.849999999999998,30.266666666666666,28.4,23.25,10.5
West Bengal,19.0,22.7,27.1,29.9,30.6,29.5,28.1,27.9,27.6,26.3,23.3,20.1,26.008333333333336,29.2,28.275,22.175,11.600000000000001
Himachal Pradesh,6.5,8.6,12.7,17.8,22.0,23.7,22.7,22.1,20.3,16.3,12.1,8.4,16.1,17.5,22.2,10.825,17.2
Arunachal Pradesh,-2.4,-1.0,1.6,4.8,8.0,11.2,12.1,11.9,10.5,6.7,2.8,-0.2,5.5,4.8,11.424999999999999,1.725,14.5
Tamil Nadu,24.3,25.3,27.4,29.6,31.3,30.8,30.0,29.2,28.7,27.3,25.7,24.6,27.850000000000005,29.433333333333334,29.675,25.474999999999998,7.0
Chandigarh,12.2,15.4,20.8,27.5,31.3,31.7,28.8,27.7,26.7,23.7,18.8,14.0,23.216666666666665,26.53333333333333,28.725,17.175,19.5
Puducherry,24.8,25.7,27.4,29.2,30.4,30.2,29.8,29.2,28.8,27.4,25.9,25.0,27.816666666666663,29.0,29.5,25.775,5.599999999999998
Andaman And Nicobarislands,26.2,26.6,27.3,28.3,27.8,27.4,27.1,26.9,26.7,26.7,26.9,26.6,27.041666666666668,27.8,27.025000000000002,26.599999999999998,2.1000000000000014
Assam,17.6,20.2,23.9,25.1,26.1,27.3,27.5,27.7,27.0,25.3,22.0,18.9,24.05,25.03333333333333,27.375,20.949999999999996,10.099999999999998
Maharashtra,23.9,24.7,26.7,28.2,29.0,27.4,25.9,25.6,26.1,27.3,27.0,25.1,26.408333333333335,27.96666666666667,26.25,25.825000000000003,5.100000000000001
Sikkim,9.4,10.9,13.7,16.6,18.7,20.3,20.3,20.4,19.6,17.3,13.9,11.0,16.008333333333333,16.333333333333332,20.15,12.9,10.999999999999998
Tripura,18.5,21.7,25.6,27.4,27.6,27.5,27.1,27.3,27.0,25.9,22.7,19.5,24.816666666666666,26.866666666666664,27.225,21.65,9.100000000000001
Karnataka,20.7,22.8,25.4,26.6,25.5,23.2,22.4,22.2,22.4,22.0,20.9,20.1,22.849999999999998,25.833333333333332,22.549999999999997,20.925,6.5
Haryana,15.77,19.57,26.11,33.98,38.93,39.59,35.94,33.76,32.69,30.36,24.34,18.48,29.12666666666667,33.00666666666667,35.495,22.2375,23.820000000000004
Chhattisgarh,20.0,23.6,28.0,32.6,35.1,31.1,26.8,26.3,26.7,25.6,22.7,20.0,26.541666666666668,31.900000000000002,27.725,22.075,15.100000000000001
Nagaland,15.9,18.2,21.5,23.5,25.2,26.7,26.8,26.7,25.9,23.6,20.0,16.9,22.575,23.400000000000002,26.525,19.1,10.9
Andhra Pradesh,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2,28.175,31.266666666666666,29.25,25.275,9.3
Jharkhand,15.5,19.4,23.9,28.6,29.8,27.9,25.1,24.7,24.4,22.6,19.3,16.1,23.108333333333334,27.433333333333334,25.525,18.375,14.3
Jammu And Kashmir,10.5,13.0,17.7,23.9,29.1,30.7,28.4,27.3,25.6,21.6,16.4,12.0,21.349999999999998,23.566666666666663,28.0,15.125,20.2
